sample	country	site

7G8		

ERS740936		

ERS740937		

ERS740940		

GB4		

PA0007-C	TheGambia	GM_Coastal

PA0008-C	TheGambia	GM_Coastal

PA0011-C	TheGambia	GM_Coastal

PA0012-C	TheGambia	GM_Coastal

PA0015-C	TheGambia	GM_Coastal

PA0016-C	TheGambia	GM_Coastal

PA0017-C	TheGambia	GM_Coastal

PA0018-C	TheGambia	GM_Coastal

PA0020-C	TheGambia	GM_Coastal

PA0021-C	TheGambia	GM_Coastal

PA0022-C	TheGambia	GM_Coastal

PA0026-C	TheGambia	GM_Coastal

PA0027-C	TheGambia	GM_Coastal

PA0029-C	TheGambia	GM_Coastal

PA0030-C	TheGambia	GM_Coastal

PA0032-C	TheGambia	GM_Coastal

PA0034-C	TheGambia	GM_Coastal

PA0035-C	TheGambia	GM_Coastal

PA0036-C	TheGambia	GM_Coastal

PA0037-C	TheGambia	GM_Coastal

PA0038-C	TheGambia	GM_Coastal

PA0039-C	TheGambia	GM_Coastal

PA0040-C	TheGambia	GM_Coastal

PA0041-C	TheGambia	GM_Coastal

PA0042-C	TheGambia	GM_Coastal

PA0044-C	TheGambia	GM_Coastal

PA0045-C	TheGambia	GM_Coastal

PA0046-C	TheGambia	GM_Coastal

PA0047-C	TheGambia	GM_Coastal

PA0049-C	TheGambia	GM_Coastal

PA0050-C	TheGambia	GM_Coastal

PA0051-C	TheGambia	GM_Coastal

PA0052-C	TheGambia	GM_Coastal

PA0053-C	TheGambia	GM_Coastal

PA0054-C	TheGambia	GM_Coastal

PA0056-C	TheGambia	GM_Coastal

PA0057-C	TheGambia	GM_Coastal

PA0059-C	TheGambia	GM_Coastal

PA0061-C	TheGambia	GM_Coastal

PA0064-C	TheGambia	GM_Coastal

PA0065-C	TheGambia	GM_Coastal

PA0067-C	TheGambia	GM_Coastal

PA0068-C	TheGambia	GM_Coastal

PA0069-C	TheGambia	GM_Coastal

PA0071-C	TheGambia	GM_Coastal

PA0073-C	TheGambia	GM_Coastal

PA0074-C	TheGambia	GM_Coastal

PA0075-C	TheGambia	GM_Coastal

PA0078-C	TheGambia	GM_Coastal

PA0079-C	TheGambia	GM_Coastal

PA0081-C	TheGambia	GM_Coastal

PA0084-C	TheGambia	GM_Coastal

PA0085-C	TheGambia	GM_Coastal

PA0087-C	TheGambia	GM_Coastal

PA0089-C	TheGambia	GM_Coastal

PA0091-C	TheGambia	GM_Coastal

PA0092-C	TheGambia	GM_Coastal

PA0093-C	TheGambia	GM_Coastal

PA0094-C	TheGambia	GM_Coastal

PA0098-C	TheGambia	GM_Coastal

PA0099-C	TheGambia	GM_Coastal

PA0100-C	TheGambia	GM_Coastal

PA0101-C	TheGambia	GM_Coastal

PA0102-C	TheGambia	GM_Coastal

PA0104-C	TheGambia	GM_Coastal

PA0134-C	Guinea	Nzerekore

PA0137-C	Guinea	Nzerekore

PA0138-C	Guinea	Nzerekore

PA0140-C	Guinea	Nzerekore

PA0144-C	Guinea	Nzerekore

PA0145-C	Guinea	Nzerekore

PA0146-C	Guinea	Nzerekore

PA0147-C	Guinea	Nzerekore

PA0148-C	Guinea	Nzerekore

PA0149-C	Guinea	Nzerekore

PA0151-C	Guinea	Nzerekore

PA0152-C	Guinea	Nzerekore

PA0153-C	Guinea	Nzerekore

PA0155-C	Guinea	Nzerekore

PA0157-C	Guinea	Nzerekore

PA0158-C	Guinea	Nzerekore

PA0159-C	Guinea	Nzerekore

PA0160-C	Guinea	Nzerekore

PA0161-C	Guinea	Nzerekore

PA0163-C	Guinea	Nzerekore

PA0165-C	Guinea	Nzerekore

PA0167-C	Guinea	Nzerekore

PA0168-C	Guinea	Nzerekore

PA0169-C	Guinea	Nzerekore

PA0171-C	Guinea	Nzerekore

PA0172-C	Guinea	Nzerekore

PA0173-C	Guinea	Nzerekore

PA0176-C	Guinea	Nzerekore

PA0177-C	Guinea	Nzerekore

PA0178-C	Guinea	Nzerekore

PA0179-C	Guinea	Nzerekore

PA0180-C	Guinea	Nzerekore

PA0182-C	Guinea	Nzerekore

PA0183-C	Guinea	Nzerekore

PA0184-C	Guinea	Nzerekore

PA0185-C	Guinea	Nzerekore

PA0186-C	Guinea	Nzerekore

PA0187-C	Guinea	Nzerekore

PA0188-C	Guinea	Nzerekore

PA0189-C	Guinea	Nzerekore

PA0190-C	Guinea	Nzerekore

PA0191-C	Guinea	Nzerekore

PA0193-C	Guinea	Nzerekore

PA0195-C	Guinea	Nzerekore

PA0197-C	Guinea	Nzerekore

PA0198-C	Guinea	Nzerekore

PA0199-C	Guinea	Nzerekore

PA0200-C	Guinea	Nzerekore

PA0201-C	Guinea	Nzerekore

PA0202-C	Guinea	Nzerekore

PA0203-C	Guinea	Nzerekore

PA0204-C	Guinea	Nzerekore

PA0205-C	Guinea	Nzerekore

PA0206-C	Guinea	Nzerekore

PA0207-C	Guinea	Nzerekore

PA0208-C	Guinea	Nzerekore

PA0209-C	Guinea	Nzerekore

PA0210-C	Guinea	Nzerekore

PA0211-C	Guinea	Nzerekore

PA0212-C	Guinea	Nzerekore

PA0213-C	Guinea	Nzerekore

