SampleID,populations
PA0007-C,Gambia
PA0011-C,Gambia
PA0012-C,Gambia
PA0015-C,Gambia
PA0016-C,Gambia
PA0017-C,Gambia
PA0018-C,Gambia
PA0020-C,Gambia
PA0022-C,Gambia
PA0029-C,Gambia
PA0032-C,Gambia
PA0034-C,Gambia
PA0035-C,Gambia
PA0036-C,Gambia
PA0037-C,Gambia
PA0038-C,Gambia
PA0040-C_maj,Gambia
PA0041-C_maj,Gambia
PA0042-C,Gambia
PA0044-C_maj,Gambia
PA0045-C,Gambia
PA0046-C,Gambia
PA0047-C,Gambia
PA0049-C,Gambia
PA0050-C,Gambia
PA0057-C,Gambia
PA0065-C,Gambia
PA0067-C,Gambia
PA0068-C,Gambia
PA0069-C_maj,Gambia
PA0071-C,Gambia
PA0073-C,Gambia
PA0074-C,Gambia
PA0075-C,Gambia
PA0078-C_maj,Gambia
PA0081-C,Gambia
PA0087-C,Gambia
PA0091-C,Gambia
PA0092-C_maj,Gambia
PA0093-C,Gambia
PA0098-C_maj,Gambia
PA0099-C,Gambia
PA0100-C,Gambia
PA0101-C,Gambia
PA0102-C,Gambia
PA0104-C,Gambia
PA0134-C_maj,Guinea
PA0137-C_maj,Guinea
PA0140-C_maj,Guinea
PA0144-C,Guinea
PA0149-C,Guinea
PA0151-C,Guinea
PA0152-C,Guinea
PA0157-C_maj,Guinea
PA0158-C,Guinea
PA0159-C_maj,Guinea
PA0161-C,Guinea
PA0165-C_maj,Guinea
PA0167-C_maj,Guinea
PA0168-C,Guinea
PA0169-C,Guinea
PA0172-C_maj,Guinea
PA0173-C_maj,Guinea
PA0176-C,Guinea
PA0180-C,Guinea
PA0182-C_maj,Guinea
PA0183-C,Guinea
PA0184-C_maj,Guinea
PA0186-C_maj,Guinea
PA0187-C_maj,Guinea
PA0189-C_maj,Guinea
PA0190-C_maj,Guinea
PA0195-C,Guinea
PA0197-C,Guinea
PA0200-C_maj,Guinea
PA0201-C,Guinea
PA0202-C_maj,Guinea
PA0203-C,Guinea
PA0204-C,Guinea
PA0205-C_maj,Guinea
PA0207-C_maj,Guinea
PA0208-C_maj,Guinea
PA0211-C_maj,Guinea
PA0213-C_maj,Guinea
PA0215-C_maj,Guinea
PA0219-C,Guinea
PA0221-C,Guinea
PA0223-C_maj,Guinea
PA0225-C,Guinea
PA0229-C_maj,Guinea
PA0232-C,Guinea
PA0237-C_maj,Guinea
PA0245-C,Guinea
PA0254-C,Guinea
PA0256-C_maj,Guinea
PA0260-C_maj,Guinea
PA0261-C,Guinea
PA0262-C,Guinea
PA0270-C,Guinea
PD0459-Cx,Thai
PD0460-C_maj,Thai
PD0461-C,Thai
PD0462-C,Thai
PD0466-C_maj,Thai
PD0467-C,Thai
PD0468-C_maj,Thai
PD0470-C,Thai
PD0471-C,Thai
PD0472-C,Thai
PD0473-C,Thai
PD0474-C,Thai
PD0475-C_maj,Thai
PD0476-C,Thai
PD0477-C,Thai
PD0478-C,Thai
PD0480-C,Thai
PD0481-C,Thai
PD0483-C,Thai
PD0487-C,Thai
PD0488-C,Thai
PD0490-C,Thai
PD0494-C,Thai
PD0495-C,Thai
PD0496-C,Thai
PD0497-C,Thai
PD0498-C,Thai
PD0500-C,Thai
PD0501-C,Thai
PD0502-C,Thai
PD0503-C,Thai
PD0504-C,Thai
PD0505-C,Thai
PD0506-C,Thai
PD0507-C,Thai
PD0508-C,Thai
PD0509-Cx2,Thai
PD0510-C,Thai
PD0511-C,Thai
PD0512-C,Thai
PD0513-C,Thai
PD0514-C,Thai
PD0515-C_maj,Thai
PD0516-C,Thai
PD0518-C,Thai
PD0520-C,Thai
PD0521-C,Thai
PD0522-C,Thai
PD0523-C,Thai
PD0524-C_maj,Thai
PD0525-C,Thai
PD0527-C,Thai
PD0528-C,Thai
PD0529-C,Thai
PD0530-C,Thai
PD0531-C_maj,Thai
PD0532-C,Thai
PD0533-C,Thai
PD0535-C,Thai
PD0538-C_maj,Thai
PD0539-C,Thai
PD0540-C_maj,Thai
PD0541-C,Thai
PD0543-C,Thai
PD0544-C,Thai
PD0545-C,Thai
PD0546-C,Thai
PD0547-C,Thai
PD0548-C,Thai
PD0549-C,Thai
PD0550-C,Thai
PD0552-C,Thai
PD0553-C,Thai
PD0555-C,Thai
PD0556-C,Thai
PD0557-C_maj,Thai
PD0558-C,Thai
PD0559-C_maj,Thai
PD0561-C,Thai
PD0562-C,Thai
PD0563-C,Thai
PD0564-C,Thai
PD0565-C,Thai
PD0567-C,Thai
PD0569-C,Thai
PD0570-C,Thai
PD0571-C,Thai
PD0572-C,Thai
PD0573-C,Thai
PD0574-C,Thai
PD0575-C,Thai
PD0576-C_maj,Thai
PD0578-C,Thai
PD0579-C,Thai
PD0580-C,Thai
PD0581-C,Thai
PD0582-C,Thai
PD0583-C,Thai
PD0584-C,Thai
PD0585-C_maj,Thai
PD0586-C,Thai
PD0587-C,Thai
PD0589-C,Thai
PD0590-C,Thai
PD0629-C,Thai
PD0632-C,Thai
PD0636-C,Thai
PD0637-C,Thai
PD0651-C,Thai
PD0658-C,Thai
PD0659-C,Thai
PD0660-C,Thai
PD0662-C,Thai
PD0663-C,Thai
PD0664-C,Thai
PD0668-C,Thai
PD0670-C,Thai
PF0008-C_maj,Ghana
PF0020-C_maj,Ghana
PF0022-C_maj,Ghana
PF0035-C,Ghana
PF0037-C_maj,Ghana
PF0041-C_maj,Ghana
PF0042-C_maj,Ghana
PF0043-C_maj,Ghana
PF0047-C,Ghana
PF0052-C_maj,Ghana
PF0058-C,Ghana
PF0062-C,Ghana
PF0066-C_maj,Ghana
PF0073-C_maj,Ghana
PF0074-C_maj,Ghana
PF0079-C_maj,Ghana
PF0092-C_maj,Ghana
PF0098-C_maj,Ghana
PF0099-C,Ghana
PF0100-C_maj,Ghana
PF0105-C_maj,Ghana
PF0106-C_maj,Ghana
PF0107-C_maj,Ghana
PF0108-C_maj,Ghana
PF0115-C_maj,Ghana
PF0117-C_maj,Ghana
PF0119-C_maj,Ghana
PF0121-C_maj,Ghana
PF0122-C_maj,Ghana
PF0136-C,Ghana
PF0137-C_maj,Ghana
PF0142-C_maj,Ghana
PF0143-C_maj,Ghana
PF0145-C,Ghana
PF0148-C_maj,Ghana
PF0151-C_maj,Ghana
PF0152-C_maj,Ghana
PF0156-C_maj,Ghana
PF0157-C_maj,Ghana
PF0158-C_maj,Ghana
PF0159-C_maj,Ghana
PF0161-C_maj,Ghana
PF0162-C_maj,Ghana
PF0164-C_maj,Ghana
PF0168-C_maj,Ghana
PF0172-C_maj,Ghana
PF0175-C_maj,Ghana
PF0176-C_maj,Ghana
PF0178-C_maj,Ghana
PF0180-C,Ghana
PF0184-C_maj,Ghana
PF0185-C,Ghana
PF0188-C,Ghana
PF0190-C_maj,Ghana
PF0193-C_maj,Ghana
PF0197-C,Ghana
PF0203-C_maj,Ghana
PF0204-C_maj,Ghana
PF0205-C_maj,Ghana
PF0206-C_maj,Ghana
PF0207-C_maj,Ghana
PF0211-C_maj,Ghana
PF0213-C_maj,Ghana
PF0214-C_maj,Ghana
PF0221-C,Ghana
PF0222-C_maj,Ghana
PF0225-C_maj,Ghana
PF0231-C_maj,Ghana
PF0232-C,Ghana
PF0235-C_maj,Ghana
PF0239-C_maj,Ghana
PF0240-C_maj,Ghana
PF0245-C_maj,Ghana
PF0246-C_maj,Ghana
PF0248-C_maj,Ghana
PF0254-C,Ghana
PF0255-C_maj,Ghana
PF0259-C_maj,Ghana
PF0260-C,Ghana
PF0261-C,Ghana
PF0263-C_maj,Ghana
PF0266-C_maj,Ghana
PF0267-C_maj,Ghana
PF0269-C,Ghana
PF0276-C_maj,Ghana
PF0278-C,Ghana
PF0279-C_maj,Ghana
PF0282-C_maj,Ghana
PF0285-C_maj,Ghana
PF0286-C_maj,Ghana
PF0287-C,Ghana
PF0288-C_maj,Ghana
PF0290-C_maj,Ghana
PF0298-C,Ghana
PF0299-C_maj,Ghana
PF0301-C_maj,Ghana
PF0304-C_maj,Ghana
PF0309-C_maj,Ghana
PF0310-C_maj,Ghana
PF0314-C_maj,Ghana
PF0323-C_maj,Ghana
PF0326-C,Ghana
PF0328-C_maj,Ghana
PF0329-C_maj,Ghana
PF0330-C,Ghana
PF0332-C_maj,Ghana
PF0334-C_maj,Ghana
PF0337-C_maj,Ghana
PF0339-C_maj,Ghana
PF0341-C_maj,Ghana
PF0344-C_maj,Ghana
PF0347-C_maj,Ghana
PF0366-C,Ghana
PF0369-C,Ghana
PF0370-C_maj,Ghana
PF0371-C_maj,Ghana
PF0372-C_maj,Ghana
PF0393-CW_maj,Ghana
PF0397-C_maj,Ghana
PF0400-C,Ghana
PF0401-C_maj,Ghana
PF0406-C_maj,Ghana
PF0407-C_maj,Ghana
PF0409-C,Ghana
PF0410-CW_maj,Ghana
PF0411-C_maj,Ghana
PF0413-C_maj,Ghana
PF0417-C,Ghana
PF0422-C_maj,Ghana
PF0423-C_maj,Ghana
PF0425-C_maj,Ghana
PF0427-C_maj,Ghana
PF0431-C_maj,Ghana
PF0434-C_maj,Ghana
PF0439-C_maj,Ghana
PF0441-CW_maj,Ghana
PF0446-CW_maj,Ghana
PF0449-C_maj,Ghana
PF0450-C_maj,Ghana
PF0451-C_maj,Ghana
PF0452-C_maj,Ghana
PF0454-C_maj,Ghana
PF0456-C_maj,Ghana
PF0472-C_maj,Ghana
PF0473-C_maj,Ghana
PF0482-C_maj,Ghana
PF0486-C_maj,Ghana
PF0489-C_maj,Ghana
PF0491-C_maj,Ghana
PF0492-C_maj,Ghana
PF0493-C_maj,Ghana
PF0507-C_maj,Ghana
PF0512-C_maj,Ghana
PF0513-C_maj,Ghana
PF0515-C_maj,Ghana
PF0519-C_maj,Ghana
PF0525-C_maj,Ghana
PF0531-C_maj,Ghana
PF0542-C_maj,Ghana
PF0554-C_maj,Ghana
PF0554-Cx_maj,Ghana
PF0556-C_maj,Ghana
PF0556-Cx_maj,Ghana
PF0559-C_maj,Ghana
PF0559-Cx_maj,Ghana
PF0560-C_maj,Ghana
PF0560-Cx_maj,Ghana
PF0578-C_maj,Ghana
PF0578-Cx_maj,Ghana
PF0584-C_maj,Ghana
PF0584-Cx_maj,Ghana
PF0590-C_maj,Ghana
PF0590-Cx_maj,Ghana
PF0596-C_maj,Ghana
PF0597-C_maj,Ghana
PF0599-C_maj,Ghana
PF0604-C_maj,Ghana
PF0606-C_maj,Ghana
PF0608-C_maj,Ghana
PF0610-C_maj,Ghana
PF0612-C_maj,Ghana
PF0614-C_maj,Ghana
PF0617-C_maj,Ghana
PF0625-C_maj,Ghana
PF0632-C_maj,Ghana
PF0633-C_maj,Ghana
PF0635-C_maj,Ghana
PF0638-C_maj,Ghana
PF0655-C_maj,Ghana
PF0661-C_maj,Ghana
PF0663-C_maj,Ghana
PF0666-C_maj,Ghana
PF0668-C_maj,Ghana
PF0670-C_maj,Ghana
PF0674-C_maj,Ghana
PF0676-C_maj,Ghana
PF0678-C_maj,Ghana
PF0680-C_maj,Ghana
PF0685-C_maj,Ghana
PF0686-C_maj,Ghana
PF0689-C_maj,Ghana
PF0691-C_maj,Ghana
PF0694-C_maj,Ghana
PF0696-C_maj,Ghana
PF0697-C_maj,Ghana
PF0701-C_maj,Ghana
PF0704-C_maj,Ghana
PF0706-C_maj,Ghana
PF0707-C_maj,Ghana
PF0712-C_maj,Ghana
PF0715-C_maj,Ghana
PF0722-C_maj,Ghana
PF0725-C_maj,Ghana
PF0728-C_maj,Ghana
PF0729-C_maj,Ghana
PF0730-C_maj,Ghana
PF0733-C_maj,Ghana
PF0737-C_maj,Ghana
PF0738-C_maj,Ghana
PF0742-C_maj,Ghana
PF0747-C_maj,Ghana
PF0748-C_maj,Ghana
PF0754-C_maj,Ghana
PF0759-C_maj,Ghana
PF0761-C_maj,Ghana
PF0763-C_maj,Ghana
PF0767-C_maj,Ghana
PF0768-C_maj,Ghana
PF0769-C_maj,Ghana
PF0773-C_maj,Ghana
PF0778-C_maj,Ghana
PF0780-C_maj,Ghana
PF0782-C_maj,Ghana
PF0783-C_maj,Ghana
PF0785-C_maj,Ghana
PF0786-C_maj,Ghana
PF0789-C_maj,Ghana
PF0798-C_maj,Ghana
PF0802-C_maj,Ghana
PF0803-C_maj,Ghana
PF0809-C_maj,Ghana
PF0811-C_maj,Ghana
PF0816-C_maj,Ghana
PF0817-C_maj,Ghana
PF0818-C_maj,Ghana
PF0820-C_maj,Ghana
PF0822-C_maj,Ghana
PF0823-C_maj,Ghana
PH0047-Cx,Cambodia
PH0051-Cx,Cambodia
PH0052-C_maj,Cambodia
PH0055-C,Cambodia
PH0057-C,Cambodia
PH0059-C,Cambodia
PH0060-C_maj,Cambodia
PH0064-C,Cambodia
PH0157-C,Cambodia
PH0161-C,Cambodia
PH0163-C,Cambodia
PH0164-C,Cambodia
PH0165-C,Cambodia
PH0167-C,Cambodia
PH0169-C,Cambodia
PH0171-C,Cambodia
PH0172-C,Cambodia
PH0173-C,Cambodia
PH0191-C,Cambodia
PH0192-C,Cambodia
PH0193-C,Cambodia
PH0194-C,Cambodia
PH0197-C,Cambodia
PH0198-C,Cambodia
PH0199-C,Cambodia
PH0200-C,Cambodia
PH0201-C,Cambodia
PH0203-C,Cambodia
PH0206-C,Cambodia
PH0207-C,Cambodia
PH0208-C,Cambodia
PH0209-C,Cambodia
PH0210-C,Cambodia
PH0212-C,Cambodia
PH0213-C,Cambodia
PH0238-C,Cambodia
PH0239-C,Cambodia
PH0240-C,Cambodia
PH0241-C,Cambodia
